epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,698.237,1.27023,1.22179,1.72491,0.68225,0.64343,0.6443,0.39482,0.00073,0.37382,1.39588,1.18871,1.8659,0.000712281,0.000712281,0.000712281
95,705.392,1.26836,1.27383,1.72088,0.59096,0.6169,0.59578,0.39098,0.00078,0.3386,1.47336,1.25222,1.90994,0.000709188,0.000709188,0.000709188
96,713.488,1.2426,1.22945,1.70757,0.65102,0.62258,0.62351,0.38419,0.00179,0.3743,1.3699,1.23522,1.82129,0.000706094,0.000706094,0.000706094
97,721.603,1.2223,1.18621,1.66794,0.7127,0.60537,0.6484,0.52454,0.00023,0.42066,1.35229,1.24282,1.805,0.000703,0.000703,0.000703
98,729.127,1.26155,1.29264,1.70941,0.64956,0.67487,0.64461,0.41425,0.00134,0.39741,1.41078,1.31184,1.88392,0.000699906,0.000699906,0.000699906
99,736.262,1.22649,1.16867,1.65394,0.70866,0.6793,0.67327,0.3969,0.00535,0.41131,1.33982,1.25144,1.80862,0.000696812,0.000696812,0.000696812
100,744.253,1.25659,1.19958,1.6989,0.72947,0.71359,0.70853,0.46777,0.00515,0.43574,1.37115,1.13976,1.82146,0.000693719,0.000693719,0.000693719
101,751.965,1.17926,1.15495,1.62334,0.75712,0.67252,0.72394,0.57733,0.00527,0.47923,1.34351,1.13844,1.80743,0.000690625,0.000690625,0.000690625
102,759.902,1.22161,1.17392,1.65026,0.75298,0.69709,0.72808,0.50383,0.00274,0.45125,1.33632,1.15434,1.83986,0.000687531,0.000687531,0.000687531
103,768.913,1.21072,1.23815,1.68073,0.88137,0.56486,0.69146,0.50289,0.0007,0.4253,1.3569,1.23471,1.83638,0.000684438,0.000684438,0.000684438
104,783.175,1.23436,1.21292,1.67817,0.71623,0.6294,0.68575,0.54069,0.00157,0.43278,1.32736,1.14827,1.82499,0.000681344,0.000681344,0.000681344
105,791.947,1.25959,1.16584,1.69403,0.85408,0.67224,0.74721,0.605,0.00028,0.4693,1.3975,1.08677,1.8884,0.00067825,0.00067825,0.00067825
106,802.322,1.18368,1.12782,1.65018,0.88998,0.64193,0.76166,0.56034,0.00105,0.48879,1.35949,1.07587,1.83474,0.000675156,0.000675156,0.000675156
107,812.193,1.21382,1.15163,1.71425,0.88822,0.64901,0.76749,0.54783,0.00085,0.4927,1.28129,1.06467,1.75183,0.000672063,0.000672063,0.000672063
108,823.085,1.15763,1.20357,1.65685,0.65878,0.76925,0.75764,0.60946,0,0.50939,1.2758,1.10408,1.78885,0.000668969,0.000668969,0.000668969
109,833.184,1.17777,1.17023,1.64058,0.89996,0.60448,0.75621,0.61657,0.00685,0.4992,1.293,1.08916,1.79883,0.000665875,0.000665875,0.000665875
110,842.685,1.14685,1.14783,1.60466,0.71059,0.73517,0.76643,0.63847,0.00033,0.4985,1.30137,1.11704,1.73908,0.000662781,0.000662781,0.000662781
111,852.878,1.19085,1.13682,1.63772,0.70353,0.72925,0.78866,0.61018,0.0034,0.50846,1.29691,1.05377,1.74452,0.000659688,0.000659688,0.000659688
112,862.676,1.15808,1.09447,1.59315,0.8199,0.6426,0.78966,0.5761,0.00281,0.50381,1.33713,1.07007,1.81214,0.000656594,0.000656594,0.000656594
113,873.266,1.17048,1.13984,1.66838,0.69742,0.72742,0.77892,0.54095,0.00177,0.48256,1.371,1.10553,1.82125,0.0006535,0.0006535,0.0006535
114,883.24,1.19544,1.12149,1.64506,0.7956,0.70934,0.78169,0.55638,0.00051,0.4993,1.29131,1.02739,1.74901,0.000650406,0.000650406,0.000650406
115,893.217,1.19745,1.1381,1.63715,0.84904,0.66598,0.77794,0.51066,0.00876,0.4877,1.28991,1.04596,1.76513,0.000647313,0.000647313,0.000647313
116,903.323,1.16461,1.14005,1.60618,0.8703,0.63068,0.79299,0.58725,0.00179,0.48595,1.31572,1.09101,1.78828,0.000644219,0.000644219,0.000644219
117,913.102,1.11954,1.12276,1.59028,0.76381,0.71607,0.77341,0.56895,0.0034,0.49626,1.29954,1.05253,1.78505,0.000641125,0.000641125,0.000641125
118,923.695,1.14004,1.06733,1.59573,0.95024,0.67338,0.79364,0.55886,0.01225,0.49129,1.31524,1.04298,1.81767,0.000638031,0.000638031,0.000638031
119,934.307,1.14411,1.09802,1.61633,0.90054,0.71418,0.79814,0.59461,0.0081,0.5105,1.29022,1.04235,1.77431,0.000634937,0.000634937,0.000634937
120,943.348,1.13117,1.06692,1.5971,0.95879,0.63428,0.79552,0.61957,0.00121,0.52145,1.23381,1.01214,1.7208,0.000631844,0.000631844,0.000631844
121,955.082,1.12429,1.09609,1.60529,0.87221,0.6767,0.81436,0.58288,0.00186,0.5233,1.24167,1.01087,1.71151,0.00062875,0.00062875,0.00062875
122,964.346,1.1285,1.08284,1.57979,0.83254,0.71853,0.81887,0.62549,0.01132,0.52523,1.30796,1.06892,1.75286,0.000625656,0.000625656,0.000625656
123,974.075,1.06444,1.03677,1.50783,0.88937,0.72019,0.82426,0.56516,0.01296,0.52104,1.31055,1.06961,1.75876,0.000622563,0.000622563,0.000622563
124,985.53,1.1382,1.10377,1.58976,0.74413,0.70251,0.78996,0.61587,0.00439,0.51123,1.27363,1.04995,1.72141,0.000619469,0.000619469,0.000619469
125,994.129,1.12165,1.07297,1.58064,0.70106,0.74255,0.77393,0.55234,0.00714,0.48739,1.25379,1.03801,1.69345,0.000616375,0.000616375,0.000616375
126,1003.52,1.11354,1.07687,1.56592,0.71939,0.78111,0.77671,0.47056,0.02154,0.46431,1.29757,1.06263,1.79031,0.000613281,0.000613281,0.000613281
127,1014.29,1.11886,1.04298,1.5451,0.77666,0.70662,0.77123,0.58118,0.00495,0.49745,1.28323,1.06522,1.75559,0.000610188,0.000610188,0.000610188
128,1024.74,1.10863,1.06964,1.56726,0.78291,0.6935,0.81159,0.63492,0.00755,0.55764,1.25407,1.01397,1.74864,0.000607094,0.000607094,0.000607094
129,1034.56,1.08081,1.02231,1.54227,0.92825,0.69518,0.81607,0.65793,0,0.55372,1.25187,0.99821,1.7582,0.000604,0.000604,0.000604
