epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,2535.31,1.35072,1.67374,1.82791,0.47927,0.50275,0.50066,0.3074,0.01593,0.2992,1.75084,1.88134,2.33818,0.000845313,0.000845313,0.000845313
52,2598.44,1.36963,1.67472,1.84268,0.65875,0.5128,0.53409,0.36033,0.00393,0.32725,1.72072,1.84231,2.26258,0.000842219,0.000842219,0.000842219
53,2661.05,1.35282,1.70243,1.82972,0.60319,0.51302,0.55307,0.31829,0.0125,0.3236,1.75216,1.8041,2.31205,0.000839125,0.000839125,0.000839125
54,2725.23,1.32963,1.63306,1.82077,0.5571,0.54214,0.5426,0.33928,0.0122,0.32899,1.77709,1.76721,2.39718,0.000836031,0.000836031,0.000836031
55,2789.06,1.32647,1.62676,1.80141,0.50769,0.50377,0.52213,0.31903,0.06562,0.32169,1.74575,1.78314,2.31316,0.000832938,0.000832938,0.000832938
56,2849.19,1.33264,1.63691,1.82278,0.57519,0.51888,0.50169,0.2745,0.02966,0.2958,1.76939,1.88245,2.3835,0.000829844,0.000829844,0.000829844
57,2911.45,1.32477,1.63254,1.82516,0.62923,0.49023,0.55322,0.32758,0.00856,0.32327,1.71461,1.725,2.29177,0.00082675,0.00082675,0.00082675
58,2971.94,1.30954,1.57894,1.80659,0.53124,0.59474,0.55717,0.34943,0.00295,0.3404,1.74912,1.74664,2.32703,0.000823656,0.000823656,0.000823656
59,3035.7,1.30948,1.56964,1.79829,0.60423,0.49592,0.4948,0.32938,0.00867,0.29822,1.79657,1.85502,2.33173,0.000820563,0.000820563,0.000820563
60,3100.02,1.3022,1.57004,1.80281,0.53832,0.53686,0.54819,0.32965,0.00326,0.3321,1.73356,1.77148,2.3185,0.000817469,0.000817469,0.000817469
61,3161.38,1.30226,1.57708,1.79225,0.53274,0.51025,0.52518,0.30074,0.02763,0.31133,1.73608,1.75882,2.29668,0.000814375,0.000814375,0.000814375
62,3222.4,1.29772,1.59431,1.77865,0.62937,0.4797,0.53233,0.31506,0.01733,0.31128,1.80106,1.86038,2.43871,0.000811281,0.000811281,0.000811281
63,3274.68,1.30495,1.58221,1.78041,0.57074,0.51318,0.55316,0.34394,0.0172,0.33443,1.76355,1.75996,2.36724,0.000808188,0.000808188,0.000808188
64,3317.62,1.29201,1.55877,1.77326,0.55601,0.47607,0.51024,0.30431,0.0512,0.31207,1.77687,1.83518,2.38241,0.000805094,0.000805094,0.000805094
65,3376.78,1.29529,1.53255,1.78818,0.55011,0.48591,0.49929,0.27493,0.03974,0.28458,1.90956,1.87601,2.55986,0.000802,0.000802,0.000802
66,3438.77,1.28576,1.52493,1.78374,0.58362,0.49645,0.4969,0.28399,0.08413,0.29774,1.83779,1.89651,2.46889,0.000798906,0.000798906,0.000798906
67,3498.95,1.27529,1.50251,1.77053,0.63901,0.47179,0.54922,0.30628,0.05466,0.32926,1.78638,1.809,2.3966,0.000795812,0.000795812,0.000795812
68,3563.03,1.28614,1.51806,1.78237,0.66701,0.50946,0.56211,0.33061,0.00088,0.33233,1.74274,1.69831,2.32155,0.000792719,0.000792719,0.000792719
69,3618.53,1.26052,1.48673,1.769,0.62251,0.50957,0.55007,0.31606,0.02637,0.32473,1.80531,1.74303,2.43209,0.000789625,0.000789625,0.000789625
70,3658.61,1.25429,1.4755,1.73588,0.63557,0.53774,0.56961,0.3631,0.01909,0.34595,1.70223,1.66508,2.32335,0.000786531,0.000786531,0.000786531
71,3702.93,1.26072,1.5243,1.77249,0.59384,0.46688,0.51352,0.30248,0.02374,0.30874,1.83244,1.92307,2.46758,0.000783438,0.000783438,0.000783438
